1	0.6139122748129049	0.6495715895381304	NaN	NaN	
2	1.9934362422979746e-6	1.993580689196861e-6	0.9613536292364836	0.9128130092655601	
3	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
4	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
5	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
6	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
7	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
8	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
9	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
10	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
11	1.9934362422979746e-6	1.993580689196861e-6	0.0	0.0	
