2	0.010710000991821289
2	0.006450176239013672
2	0.00897216796875
2	0.01087808609008789
2	0.001878976821899414
2	0.0014209747314453125
2	0.0018520355224609375
2	0.0014700889587402344
2	0.0019321441650390625
2	0.0014710426330566406
3	0.017796039581298828
3	0.003635883331298828
3	0.004045009613037109
3	0.0077168941497802734
3	0.024868011474609375
3	0.002644062042236328
3	0.0033948421478271484
3	0.0032761096954345703
3	0.0032711029052734375
3	0.006677150726318359
4	1.0249710083007812
4	0.7755441665649414
